"Model","JC"
"Ludogorets","Ludogorets Razgrad"
"Torino","AC Torino"
"RKC","RKC Waalwijk"
"Grenoble","Grenoble Foot"
"Elche","CF Elche"
"Angers","Angers SCO"
"PSV","PSV Eindhoven"
"Granada","CF Granada"
"Consadole Sapporo","Hokkaido Consadole Sapporo"
"Nimes","Olympique Nimes"
"Pau","Pau FC"
"US Quevilly","US Quevilly Rouen"
"NEC","NEC Nijmegen"
"AZ","AZ Alkmaar"
"SK Sturm Graz","Sturm Graz"
"KAA Gent","AA Gent"
"West Ham United","West Ham"
"Tottenham Hotspur","Tottenham"
"1. FC Union Berlin","Union Berlin"
"Erzgebirge Aue","Aue"
"IF Elfsborg","Elfsborg"
"FC Groningen","Groningen"
"FC Cologne","Cologne"
"Stoke City","Stoke"
"Athletic Bilbao","Bilbao"
"VfL Wolfsburg","Wolfsburg"
"Borussia Dortmund","Dortmund"
"VfB Stuttgart","Stuttgart"
"Leeds United","Leeds"
"Viking FK","Viking"
"Brighton and Hove Albion","Brighton"
"FC Porto","Porto"
"PEC Zwolle","Zwolle"
"FC Arouca","Arouca"
"SV Sandhausen","Sandhausen"
"Estoril Praia","Estoril"
"Kristiansund BK","Kristiansund"
"Leicester City","Leicester"
"AS Monaco","Monaco"
"Eintracht Frankfurt","Frankfurt"
"AS Roma","Roma"
"Bayer Leverkusen","Leverkusen"
"Real Betis","Betis"
"FC Midtjylland","Midtjylland"
"Stade Rennes","Rennes"
"1. FC Heidenheim 1846","Heidenheim"
"Hamburg SV","Hamburg"
"IFK Goteborg","Goteborg"
"FC Twente","Twente"
"F.B.C Unione Venezia","Venezia"
"Standard Liege","Standard"
"West Bromwich Albion","West Bromwich"
"SC Paderborn","Paderborn"
"Hansa Rostock","Rostock"
"Karlsruher SC","Karlsruher"
"Rayo Vallecano","Vallecano"
"Borussia Monchengladbach","Monchengladbach"
"FC Augsburg","Augsburg"
"SC Freiburg","Freiburg"
"TSG Hoffenheim","Hoffenheim"
"Norwich City","Norwich"
"VfL Bochum","Bochum"
"Pacos Ferreira","Ferreira"
"Dijon FCO","Dijon"
"AS Nancy Lorraine","Nancy"
"Hannover 96","Hannover"
"Sporting CP","Sporting"
"Nagoya Grampus Eight","Nagoya Grampus"
"SV Darmstadt 98","Darmstadt"
"FC Ingolstadt 04","Ingolstadt"
"Dynamo Dresden","Dresden"
"FC Utrecht","Utrecht"
"Clermont Foot","Clermont"
"SK Brann","Brann"
"Sevilla FC","Sevilla"
"Legia Warsaw","Legia Warszawa"
"St Mirren","St. Mirren"
"Internazionale","Inter Milan"
"Bodo/Glimt","Bodo Glimt"
"Manchester United","Manchester Utd"
